source_lang,target_lang,source_term,target_term,category
en,zh,CE Marking,CE标志,外贸术语
en,zh,Declaration Form,报关单,外贸术语
en,zh,Export Declaration,出口报关,外贸术语
en,zh,Import Declaration,进口报关,外贸术语
en,zh,Commodity Inspection,商检,外贸术语
en,zh,Inspection and Quarantine,检验检疫,外贸术语
en,zh,Sanitary Certificate,卫生证书,外贸术语
en,zh,Phytosanitary Certificate,植物检疫证书,外贸术语
en,zh,Fumigation Certificate,熏蒸证书,外贸术语
en,zh,Health Certificate,健康证书,外贸术语
en,zh,Insurance Certificate,保险凭证,外贸术语
en,zh,Marine Insurance,海运保险,外贸术语
en,zh,Cargo Insurance,货物保险,外贸术语
en,zh,All Risks,一切险,外贸术语
en,zh,With Average,水渍险,外贸术语
en,zh,Free From Particular Average,平安险,外贸术语
en,zh,Force Majeure,不可抗力,外贸术语
en,zh,Arbitration,仲裁,外贸术语
en,zh,Dispute Resolution,争议解决,外贸术语
en,zh,Settlement of Disputes,争议解决,外贸术语
en,zh,Contract of Sale,销售合同,外贸术语
en,zh,Purchase Order,采购订单,外贸术语
en,zh,Sales Confirmation,销售确认书,外贸术语
en,zh,Terms and Conditions,条款与条件,外贸术语
en,zh,Incoterms Group,贸易术语组别,外贸术语
en,zh,Free Trade Zone,自由贸易区,外贸术语
en,zh,Duty Free,免税,外贸术语
en,zh,Tax Refund,退税,外贸术语
en,zh,Export Rebate,出口退税,外贸术语
